region;municipality;settlement;latitude;longitude;fullOfficeName
Алтайский край;;Алейск;52.4922222222222;82.77944444444451;Алтайский край, г. Алейск
Алтайский край;;Барнаул;53.348055555555604;83.78;Алтайский край, г. Барнаул
Алтайский край;;Белокуриха;51.9961111111111;84.9838888888889;Алтайский край, г. Белокуриха
Алтайский край;;Бийск;52.539166666666695;85.2138888888889;Алтайский край, г. Бийск
Алтайский край;;Заринск;53.7063888888889;84.9316666666667;Алтайский край, г. Заринск
Алтайский край;Змеиногорский;Змеиногорск;51.1580555555556;82.1872222222222;Алтайский край, Змеиногорский, г. Змеиногорск
Алтайский край;Каменский;Камень-на-Оби;53.7913888888889;81.35444444444441;Алтайский край, Каменский, г. Камень-на-Оби
Алтайский край;Локтевский;Горняк;50.9977777777778;81.4641666666667;Алтайский край, Локтевский, г. Горняк
Алтайский край;;Новоалтайск;53.4119444444444;83.9311111111111;Алтайский край, г. Новоалтайск
Алтайский край;;Рубцовск;51.5011111111111;81.20777777777779;Алтайский край, г. Рубцовск
Алтайский край;;Славгород;52.9994444444444;78.6458333333333;Алтайский край, г. Славгород
Алтайский край;;Яровое;52.925277777777794;78.5727777777778;Алтайский край, г. Яровое
Амурская область;;Белогорск;50.921388888888906;128.473888888889;Амурская область, г. Белогорск
Амурская область;;Благовещенск;50.2905555555556;127.52722222222201;Амурская область, г. Благовещенск
Амурская область;Завитинский;Завитинск;50.1063888888889;129.439444444444;Амурская область, Завитинский, г. Завитинск
Амурская область;;Зея;53.734166666666695;127.26583333333299;Амурская область, г. Зея
Амурская область;Посёлок Углегорск;Циолковский;51.7597222222222;128.119166666667;Амурская область, Посёлок Углегорск, г. Циолковский
Амурская область;;Райчихинск;49.7941666666667;129.411388888889;Амурская область, г. Райчихинск
Амурская область;;Свободный;51.375833333333304;128.134166666667;Амурская область, г. Свободный
Амурская область;Сковородинский;Сковородино;53.9872222222222;123.943611111111;Амурская область, Сковородинский, г. Сковородино
Амурская область;;Тында;55.154722222222205;124.729166666667;Амурская область, г. Тында
Амурская область;;Шимановск;51.9994444444444;127.676111111111;Амурская область, г. Шимановск
Архангельская область;;Архангельск;64.5430555555556;40.537222222222205;Архангельская область, г. Архангельск
