region;settlement;latitude;longitude;fullWarehouseName
Калининградская область;Калининград;54.7;20.45;Калининградская область, г. Калининград
Тамбовская область;Тамбов;52.72972222222221;41.4486111111111;Тамбовская область, г. Тамбов
Республика Тыва;Кызыл;51.7191666666667;94.43777777777781;Республика Тыва, г. Кызыл
Сахалинская область;Южно-Сахалинск;46.9591666666667;142.738055555556;Сахалинская область, г. Южно-Сахалинск
Пензенская область;Пенза;53.2;45.0;Пензенская область, г. Пенза
Владимирская область;Владимир;56.133333333333304;40.4166666666667;Владимирская область, г. Владимир
Иркутская область;Иркутск;52.2863888888889;104.28055555555599;Иркутская область, г. Иркутск
Оренбургская область;Оренбург;51.7683333333333;55.0969444444444;Оренбургская область, г. Оренбург
Архангельская область;Архангельск;64.5430555555556;40.537222222222205;Архангельская область, г. Архангельск
Республика Марий Эл;Йошкар-Ола;56.6344444444444;47.9;Республика Марий Эл, г. Йошкар-Ола
Республика Мордовия;Саранск;54.1872222222222;45.1836111111111;Республика Мордовия, г. Саранск
Костромская область;Кострома;57.767777777777795;40.9263888888889;Костромская область, г. Кострома
Московская область;Королев;55.9222222222222;37.8544444444444;Московская область, г. Королев
Ярославская область;Ярославль;57.626388888888904;39.893333333333295;Ярославская область, г. Ярославль
Республика Адыгея;Майкоп;44.6097222222222;40.1005555555556;Республика Адыгея, г. Майкоп
Мурманская область;Мурманск;68.9694444444444;33.074444444444396;Мурманская область, г. Мурманск
Санкт-Петербург;Санкт-Петербург;59.9391666666667;30.315833333333302;Санкт-Петербург, г. Санкт-Петербург
Чувашская республика;Чебоксары;56.138611111111096;47.24;Чувашская республика, г. Чебоксары
Республика Бурятия;Улан-Удэ;51.8344444444444;107.584444444444;Республика Бурятия, г. Улан-Удэ
Свердловская область;Екатеринбург;56.8386111111111;60.605555555555604;Свердловская область, г. Екатеринбург
Курганская область;Курган;55.4544444444444;65.3219444444444;Курганская область, г. Курган
Республика Карелия;Петрозаводск;61.789166666666695;34.3597222222222;Республика Карелия, г. Петрозаводск
Еврейская автономная область;Биробиджан;48.794722222222205;132.921666666667;Еврейская автономная область, г. Биробиджан
Новосибирская область;Новосибирск;55.0283333333333;82.9233333333333;Новосибирская область, г. Новосибирск
